	meter	source	statement	context	tags	true	mostly-true	half-true	barely-true	false	pants-fire
14	false	Joe Sanfelippo	“Clerks in Milwaukee and Dane Counties colluded to (add) nearly 250,000 individuals to the ‘Indefinitely Confined’ voter list.”	a news release	['Elections', 'States', 'Wisconsin', 'Joe Sanfelippo']	0	2	0	0	1	1
15	false	Sidney Powell	"“At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate."""	an interview with Fox News	['Arizona', 'Georgia', 'Elections', 'Facebook Fact-checks', 'Wisconsin', 'Pennsylvania', 'Michigan', 'Sidney Powell']	0	0	0	0	1	1
16	fire	Rudy Giuliani	In Michigan “we have over-votes in numerous precincts of 150%, 200%, and 300%.”	remarks in a press conference	['Elections', 'Michigan', 'Rudy Giuliani']	8	7	10	9	12	7
17	mostly-false	Joe Biden	"“666,000 teachers have been laid off already since March."""	a virtual roundtable	['Education', 'Coronavirus', 'Joe Biden']	23	41	41	33	31	6
18	true	Tweets	"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”"	tweets	['Elections', 'Iowa', 'Tweets']	2	3	4	4	19	15
19	fire	Viral image	Says Donald Trump’s book “The Art of the Deal” advises: “Never admit defeat. You win. If you don’t win, claim they cheated.”	a Facebook post	['Elections', 'Iowa', 'Tweets']	2	3	4	4	19	15
20	false	Ron Paul	Says “Biden wants a nationwide lockdown to combat a virus that has a 99%+ survival rate.”	a Twitter post	['Coronavirus', 'Ron Paul']	8	8	8	5	10	3
21	fire	Donald Trump	"""A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM (in Wisconsin), when they learned he was losing badly. This is unbelievable!"""	a tweet	['Coronavirus', 'Ron Paul']	8	8	8	5	10	3
22	mostly-true	Lyle Larson	Says there’s “up to 75% reduction in opioid dosage for medical cannabis users.”	a tweet	['Public Health', 'Texas', 'Marijuana', 'Lyle Larson']	0	1	0	0	0	0
23	full-flop	Ron Johnson	On the need for a smooth transition for the president-elect	interviews	['Elections', 'Wisconsin', 'Ron Johnson']	8	16	13	19	8	1
24	half-true	Raphael Warnock	"Says Kelly Loeffler is ""for getting rid of health care in the middle of a pandemic."""	an ad	['Georgia', 'Public Health', 'Coronavirus', 'Raphael Warnock']	1	0	2	0	0	0
25	mostly-false	Jon Ossoff	“David Perdue says he'll do everything in his power to make sure Joe Biden fails.”	an ad	['Georgia', 'Negative Campaigning', 'Jon  Ossoff']	0	2	2	1	0	0
26	fire	Facebook posts	“AARP endorsed Biden” and “says if you are past 75 you should just die and go away.”	a Facebook post	['Georgia', 'Negative Campaigning', 'Jon  Ossoff']	0	2	2	1	0	0
27	fire	Sidney Powell	“Smartmatic and Dominion systems ... were built to do this very thing, for changing the results of elections.”	an interview with Mark Levin	['Georgia', 'Negative Campaigning', 'Jon  Ossoff']	0	2	2	1	0	0
28	mostly-true	Joe Biden	The law governing the transition of presidential power “doesn’t require there to be an absolute winner. It says the ‘apparent' winner.”	a roundtable with healthcare workers	['Georgia', 'Negative Campaigning', 'Jon  Ossoff']	0	2	2	1	0	0
29	fire	Donald Trump	A 1993 example of voter fraud in Philadelphia is “exactly what happened to us” in the 2020 election.	a tweet	['Georgia', 'Negative Campaigning', 'Jon  Ossoff']	0	2	2	1	0	0
